facility_id,name,state,water_bws_raw,water_bws_score,water_bws_cat,water_bws_label,water_stress_class
dc_ef3e0fde0b9d,"Equinix BO1 - Boston, Waltham",MA,0.2278930477820012,2.188356913706249,2.0,Medium - High (20-40%),medium_to_high
dc_b2d8b1a270c4,365 Data Centers Chicago (CH6),IL,0.5400128749200278,3.4329938042424906,3.0,High (40-80%),high
dc_0fddb314e04f,Evocative SJC3,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_dce4e16c83f1,Level(3) Nashville (Sidco Drive),TN,0.1089822073084819,1.1240926164413865,1.0,Low - Medium (10-20%),low_to_medium
dc_13a37eb7f85b,IRIS - Nashville,TN,0.1089822073084819,1.1240926164413865,1.0,Low - Medium (10-20%),low_to_medium
dc_6d10a61e19f2,Cincinnatti Bell - West 7th Street,OH,0.031141290984902,0.0,0.0,Low (<10%),low
dc_572b91bb7df5,Level(3) Cincinnati,OH,0.031141290984902,0.0,0.0,Low (<10%),low
dc_4595feafd7e2,Telehouse - Los Angeles,CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_f9308489536b,Newport Financial Center,NJ,0.2030962023699618,2.0221632633994706,2.0,Medium - High (20-40%),medium_to_high
dc_23d4f87a5267,Netrality St. Louis - 900 Walnut,MO,0.0048197502968947,0.0,0.0,Low (<10%),low
dc_eac2b2368edf,"Equinix LA3/LA4 - Los Angeles, El Segundo",CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_5a62da9c3162,Level(3) New York,NY,0.0309236161688102,0.0,0.0,Low (<10%),low
dc_1fec2e59960c,165 Halsey Meet-Me Room,NJ,0.0674212649583831,0.4312756005460976,0.0,Low (<10%),low
dc_f231db004eb1,Crown Castle Brentwood (1650 Islip),NY,0.9865384522132844,4.302375283829,4.0,Extremely High (>80%),extremely_high
dc_6c8911ef04ae,710 Tucker St Louis,MO,0.0048197502968947,0.0,0.0,Low (<10%),low
dc_da9d1fb0b335,CoreSite - Los Angeles (LA2),CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_db0f207e9b74,XO Nashville,TN,0.1089822073084819,1.1240926164413865,1.0,Low - Medium (10-20%),low_to_medium
dc_93d82a58a852,Network 222,WI,0.6412207501203979,3.680821112347451,3.0,High (40-80%),high
dc_f94db4d64ace,OCDC Orange County Datacenter Santa Ana,CA,5.307029489603469,5.0,4.0,Extremely High (>80%),extremely_high
dc_9448c3ccf011,iConnect Billings Fiber Hotel,MT,0.3732023856786842,2.8999582085792914,2.0,Medium - High (20-40%),medium_to_high
dc_c97738231c91,iConnect Missoula,MT,0.09257581316601,0.8887072218878065,0.0,Low (<10%),low
dc_d8cbb9e4b58b,CoreSite - Denver (DE1),CO,2.242617507885955,5.0,4.0,Extremely High (>80%),extremely_high
dc_50e4626e32e8,WOW! Business (Tampa Datacenter),FL,0.6216698691352175,3.636148656561352,3.0,High (40-80%),high
dc_2e3dadc752a4,Digital Realty DFW (2323 Bryan St),TX,0.1802277961724219,1.849821532281143,1.0,Low - Medium (10-20%),low_to_medium
dc_45ec8b20e65d,Digital Realty LAX (600 W 7th),CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_559731ec2e30,Digital Realty IAD (44480 Hastings),VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_47d937b135c2,Netrality Houston - 1301 Fannin,TX,0.2872591532703989,2.522352863863281,2.0,Medium - High (20-40%),medium_to_high
dc_4b5aca5e22a3,190 Park Center Plaza San Jose,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_cda90edc406a,The Franklin Exchange Tampa,FL,0.6216698691352175,3.636148656561352,3.0,High (40-80%),high
dc_2e34e7874bca,Level(3) Oakland,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_7fe57b05a442,Netrality Kansas City - 1102 Grand,MO,0.0192036906987742,0.0,0.0,Low (<10%),low
dc_070bebed08d4,Digital Realty CHI (350 E Cermak),IL,0.5400128749200278,3.4329938042424906,3.0,High (40-80%),high
dc_224c864afb76,Digital Realty OAK (720 2nd St),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_c8a36d575578,Digital Realty SJC (2820 NW Pkwy),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_97a9a746d058,GAP Union Station,IN,0.0147536038024673,0.0,0.0,Low (<10%),low
dc_20dbd0561061,Carolina Internet / CaroNet,NC,0.7267311719342023,3.861421789672111,3.0,High (40-80%),high
dc_a15321ccd7ac,TierPoint Spokane,WA,0.216782801157399,2.1162503024981394,2.0,Medium - High (20-40%),medium_to_high
dc_6cab86b4b98b,US Bank Building,WA,0.216782801157399,2.1162503024981394,2.0,Medium - High (20-40%),medium_to_high
dc_cb6d24a8690a,324 E Wisconsin,WI,0.3184811613933631,2.671208037573646,2.0,Medium - High (20-40%),medium_to_high
dc_aa41048d7691,Lumen Boston,MA,0.2278930477820012,2.188356913706249,2.0,Medium - High (20-40%),medium_to_high
dc_af88d300efeb,"1101 Stewart Ave, Garden City",NY,0.9865384522132844,4.302375283829,4.0,Extremely High (>80%),extremely_high
dc_fd11a1f44708,180 E Broad St.,OH,0.3566046586726747,2.8343255504112053,2.0,Medium - High (20-40%),medium_to_high
