facility_id,name,operator_company,facility_type,status,state,county,latitude,longitude,coordinate_precision,verification_status,coord_confidence,size_sqft,num_floors,haz_lightning_flash_per_km2_yr,haz_seismic_pga_g_475yr,haz_seismic_pga_g_475yr_method,haz_seismic_pga_g_975yr,haz_seismic_pga_g_975yr_method,haz_seismic_pga_g_2475yr,haz_seismic_pga_g_2475yr_method,haz_wildfire_whp_code,haz_wildfire_whp_severity,haz_wildfire_surface,haz_wildfire_burnable_frac_1000m,haz_wildfire_max_severity_1000m,haz_wildfire_burnable_frac_2400m,haz_wildfire_max_severity_2400m,haz_wildfire_burnable_frac_5000m,haz_wildfire_max_severity_5000m,haz_seismic_pga_g_2475yr_usgs,haz_seismic_sa_02s_g,haz_seismic_sa_1s_g,haz_seismic_sa_02s_g_975yr,haz_seismic_sa_1s_g_975yr,haz_seismic_sa_02s_g_225yr,haz_seismic_sa_1s_g_225yr,haz_seismic_source,qa_coordinate_on_water
dc_8adc27a50dae,Lumen McLean,Lumen Technologies,colocation,operational,VA,Fairfax,38.9208538,-77.2115713,building,pending,medium,,,13.629328727722168,0.055,1,0.095,1,0.165,1,6.0,,non_burnable,0.16279069767441862,1.0,0.2289156626506024,1.0,0.4025974025974026,1.0,0.077,0.15,0.042,0.084,0.03,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_14899623a0b1,TierPoint Milwaukee,,colocation,operational,WI,Milwaukee,43.0093779,-87.9610618,building,pending,medium,,,8.040300369262695,0.025,1,0.035,1,0.055,1,6.0,,non_burnable,0.023255813953488372,1.0,0.08835341365461848,1.0,0.06307977736549165,1.0,0.043,0.097,0.055,0.05,0.036,0.022,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_7cf3203418c1,Frontier Science,,unknown,operational,NY,Erie,42.9902011,-78.8123836,building,pending,medium,,,8.291032791137695,0.025,1,0.045,1,0.095,1,6.0,,non_burnable,0.11627906976744186,3.0,0.14457831325301204,4.0,0.24675324675324675,4.0,0.1,0.18,0.041,0.09,0.03,0.031,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_8d9f4b8cf0b8,505 Marquette,,unknown,operational,NM,Bernalillo,35.088399,-106.65223,building,CANDIDATE,medium,,,9.913078308105469,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.09523809523809523,3.0,0.1655813953488372,3.0,0.17,0.43,0.12,0.255,0.082,0.084,0.029,USGS ASCE 7-22 point service (site class BC),False
dc_b82bb79938c5,123 Central,bigbyte.cc,unknown,operational,NM,Bernalillo,35.0844494,-106.6489853,building,pending,medium,,,9.913078308105469,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.08,3.0,0.1705282669138091,3.0,0.17,0.43,0.12,0.255,0.082,0.084,0.029,USGS ASCE 7-22 point service (site class BC),False
dc_02eebfd81a53,Oak Tower,,unknown,operational,MO,Jackson,39.1010328,-94.5793375,building,CANDIDATE,medium,,,20.675199508666992,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.0,,0.024291497975708502,3.0,0.05468025949953661,3.0,0.062,0.15,0.077,0.067,0.05,0.027,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_27fa53a57833,Netrality Data Centers,,unknown,operational,MO,Jackson,39.1009469,-94.5809437,building,CANDIDATE,medium,,,20.675199508666992,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.0,,0.024193548387096774,3.0,0.05473098330241188,3.0,0.062,0.15,0.077,0.067,0.05,0.027,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_52be2b848b4f,Netrality,Netrality,unknown,operational,IL,Cook,41.8728811,-87.63344,building,pending,medium,,,16.118194580078125,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.0,,0.008064516129032258,1.0,0.00927643784786642,1.0,0.071,0.15,0.07,0.073,0.046,0.03,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_d5e6794a2612,Brandaleone Lab for Data and Visualization,Duke Libraries,unknown,operational,NC,Durham,36.0030993,-78.9385323,building,UNRESOLVABLE,medium,,,14.05187702178955,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.30952380952380953,3.0,0.4777327935222672,3.0,0.49256505576208176,3.0,0.072,0.17,0.067,0.085,0.044,0.037,0.018,USGS ASCE 7-22 point service (site class BC),False
dc_d1cc4e423ca1,Frontier (supercomputer),Oak Ridge National Laboratory,unknown,operational,TN,Roane,35.929597,-84.310567,building,CANDIDATE,medium,,,12.677520751953125,0.165,1,0.275,1,0.495,1,6.0,,non_burnable,0.5952380952380952,3.0,0.828,3.0,0.8546296296296296,3.0,0.33,0.52,0.12,0.339,0.085,0.128,0.035,USGS ASCE 7-22 point service (site class BC),False
