facility_id,name,state,latitude,longitude,building_match,building_dist_m,search_radius_m,n_buildings_in_radius,largest_nearby_sqft,largest_nearby_dist_m,largest_nearby_height_m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,building_match_confidence,multi_storey,fp_cells,fp_whp_max,fp_whp_burnable_frac,fp_whp_modal,haz_wildfire_whp_code,haz_wildfire_max_severity_1000m,haz_seismic_pga_g_475yr,haz_lightning_flash_per_km2_yr
dc_fd766e3bc945,Flexential Charlotte - North,NC,35.329773,-80.7657588,contains,0.0,200.0,4,62134.8,0.0,6.9,15190538.0,62134.8,62134.73,6.9,Industrial,10105 DAVID TAYLOR DRIVE,1328745600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,4.0,4.0,0.5,6.0,4.0,4.0,0.055,14.088505744934082
dc_904e33ba7206,Equinix Ashburn DC6,VA,39.0152,-77.4588,nearest,15.397230874795875,200.0,16,194683.4,186.22291928014056,9.79,7872679.0,60507.4,60507.3,8.62,Commercial,21731 FILIGREE COURT,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,2.0,,0.0,6.0,6.0,1.0,0.055,13.613815307617188
dc_686beb9d707e,Equinix Ashburn DC4,VA,39.0164403,-77.4619542,contains,0.0,200.0,7,297023.6,92.68593568278123,8.28,7872825.0,194683.4,194683.2,9.79,Commercial,21701 FILIGREE COURT,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,3.0,1.0,0.3333333333333333,6.0,6.0,1.0,0.055,13.613815307617188
dc_a9ba7c984e27,,TX,29.5801522,-98.5413037,contains,0.0,200.0,24,35726.4,0.0,5.76,29140630.0,35726.4,35726.39,5.76,Commercial,15103 HUEBNER RD,1351728000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,1.0,1.0,1.0,1.0,2.0,0.015,12.664240837097168
dc_61d80369f0b7,,IL,41.88855,-88.72183,nearest,705.3621013694457,800.0,6,7913.9,705.3736721516332,,19884019.0,2736.9,2920.122,,Residential,11984 GURLER ROAD,1496361600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,,0.0,6.0,1.0,1.0,0.035,18.317790985107425
dc_e6bbbb28df9c,,IL,41.8893,-88.73103,nearest,667.5737430474685,800.0,3,2374.1,667.5737430474685,,19884004.0,2374.1,2357.921,,Residential,1490 EAST GURLER ROAD,1496361600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,,0.0,6.0,6.0,1.0,0.035,18.317790985107425
dc_fa02eedb0951,,IL,41.890305,-88.7266276,none,,200.0,0,,,,,,,,,,,X,True,False,AREA OF MINIMAL FLOOD HAZARD,,,,,,,1.0,1.0,0.035,18.317790985107425
dc_bdd81f74b166,Meta Gallatin Data Center,TN,36.4118,-86.367,nearest,172.60281510229132,200.0,1,5047.2,172.60281510229132,,6655356.0,5047.2,5043.572,,Government,1 META LOOP,1473206400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,1.0,1.0,1.0,1.0,1.0,0.075,15.3280611038208
dc_3a4bdb026ecc,Meta Gallatin Data Center,TN,36.4061,-86.3666,nearest,286.2903419831208,800.0,63,6465.7,795.60718359674,,6645458.0,1319.5,1318.586,,Government,201 BRIGHTS LANE,1473206400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,,0.0,6.0,6.0,1.0,0.075,15.3280611038208
dc_6f3b49e3d03a,Google,NE,41.1379084,-96.1514321,nearest,228.60525765075565,800.0,61,270718.9,758.4436003855085,,332343.0,7643.1,7647.74,,Government,15370 SCHRAM ROAD,1589068800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,1.0,1.0,1.0,6.0,1.0,0.015,15.336313247680664
